question_id,question,stage,sub_category,answer_count,gloss_origins
Q0178,회음부 감각이 둔해진 느낌이 있나요?,통증 동반증상,red_flag,10,7828 9654 12776 8966 6737 17068 651 9614 11053 6275 9846
Q0179,갑자기 마비가 오거나 다리에 힘이 빠졌나요?,통증 동반증상,red_flag,10,7828 9654 12776 8966 11896 8713 6275 651 9614 11053 17068 9846
Q0180,아침에 일어날 때 통증이 더 심한가요?,통증 시간대/상황별 변화,time_variation,10,11514 11849 11241 12264 4145 8147 5025 9297 1183 4998 9670
Q0181,밤에 누워 있을 때 통증이 더 심한가요?,통증 시간대/상황별 변화,time_variation,10,11514 11849 11241 12264 4145 8147 5025 9297 1183 4998 9670
Q0182,자다가 통증 때문에 깨나요?,통증 시간대/상황별 변화,time_variation,10,11514 11849 11241 12264 4145 8147 5025 9297 1183 4998 9670
Q0183,오후나 저녁이 되면 통증이 심해지나요?,통증 시간대/상황별 변화,time_variation,10,11514 11849 11241 12264 4145 8147 5025 9297 1183 4998 9670
Q0184,날씨가 춥거나 비가 오면 더 아픈가요?,통증 시간대/상황별 변화,time_variation,10,11514 11849 11241 12264 4145 8147 5025 9297 1183 4998 9670
Q0185,앉았다 일어설 때 통증이 심한가요?,통증 시간대/상황별 변화,function,10,3762 10440 6929 8185 7857 6395 6726 5621 1183 11514 12408 4578
Q0186,오래 걷거나 서 있으면 쉬어야 하나요?,통증 시간대/상황별 변화,function,10,3762 10440 6929 8185 7857 6395 6726 11514 8966 12408 4578 5621
Q0187,양말 신기나 세수처럼 허리 숙이는 동작이 어렵나요?,통증 시간대/상황별 변화,function,10,3762 10440 6929 8185 7857 6395 6726 11413 944 930 12408 4578 5621
Q0188,통증이 하루 종일 계속되나요?,통증 지속성/패턴,pattern,10,6934 9297 5504 5621 9846 12415 11241 4998 6726 3261
Q0189,통증이 왔다 갔다 하나요?,통증 지속성/패턴,pattern,10,6934 9297 5504 5621 9846 12415 11241 4998 6726 3261
Q0190,한 번 아프기 시작하면 오래 가나요?,통증 지속성/패턴,pattern,10,6934 9297 5504 5621 9846 12415 11241 24022 6726 4998 3261
Q0191,한 번 통증이 오면 보통 몇 분이나 지속되나요?,통증 지속성/패턴,duration,8,10403 24028 11301 8889 9297 4795 1403 11796 5621 11779 6637
Q0192,통증이 몇 시간씩 이어지나요?,통증 지속성/패턴,duration,8,10403 24028 11301 8889 9297 4795 1403 11796 5621 6637
Q0193,하루에 몇 번 정도 통증이 오나요?,통증 지속성/패턴,frequency,8,10403 5621 12415 23866 23865 12723 11241 6929 4463 11513 7833
Q0194,일주일에 며칠 정도 통증이 있나요?,통증 지속성/패턴,frequency,8,11606 10403 5621 12415 23866 23865 12723 11241 6929 4463 11513 7833
Q0195,고혈압이나 당뇨로 약을 드시고 있나요?,과거질환,history,12,9846 10239 8966 11990 10419 7367 7390
Q0196,심장질환이나 뇌혈관질환이 있으신가요?,과거질환,history,12,9846 10239 8966 11990 10419 7367 7390
Q0197,신장질환이나 간질환 진단을 받은 적이 있나요?,과거질환,history,12,9846 10239 8966 4182 11990 10419 7367 7390
Q0198,골다공증 진단을 받은 적이 있나요?,과거질환,history,12,9846 10239 8966 4182 11990 10419 7367 7390
Q0199,암 치료를 받은 적이 있나요?,과거질환,history,12,9846 10239 8966 9594 11990 10419 7367 7390
Q0200,류마티스 관절염이나 자가면역질환이 있나요?,과거질환,history,12,9846 10239 8966 11990 10419 7367 7390
Q0201,최근 감염이나 고열로 치료받은 적이 있나요?,과거질환,history,12,9846 10239 8966 3261 9359 7828 11990 10419 7367 7390
Q0202,현재 매일 복용하는 약이 있나요?,약물복용,medication_use,10,11047 6990 23866 23865 12723 12415 10239 11990 10419 7367 1400 12053 9846
Q0203,피를 묽게 하는 약을 복용 중인가요?,약물복용,medication_use,10,11047 10419 12415 10239 11990 7367 1400 12053 9846
Q0204,아스피린이나 항응고제를 드시나요?,약물복용,medication_use,10,11047 11990 10419 12415 10239 7367 1400 12053 9846
Q0205,스테로이드 약을 장기간 복용한 적이 있나요?,약물복용,medication_use,10,11047 11990 10419 12415 10239 7367 1400 12053 9846
Q0206,처방전이나 약 봉투를 가지고 오셨나요?,약물복용,medication_use,10,11047 11990 7881 8993 6773 12415 10239 10419 7367 1400 12053 9846
Q0207,진통제를 먹고 속쓰림이나 울렁거림이 있었나요?,알레르기 및 약물반응,adverse_reaction,10,9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 10419 5621 7422
Q0208,약을 먹고 두드러기나 가려움이 생긴 적이 있나요?,알레르기 및 약물반응,adverse_reaction,10,9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 10419 5621 7422
Q0209,주사 맞고 어지럽거나 숨이 찬 적이 있나요?,알레르기 및 약물반응,adverse_reaction,10,9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 9525 5621 7422
Q0210,마취제나 조영제 알레르기가 있나요?,알레르기 및 약물반응,adverse_reaction,10,9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 5621 7422
Q0211,하루 중 오래 앉아 있는 시간이 많나요?,생활습관,occupation,8,6726 7857 6288 24028 11301 8889 9297 12255 11467 3261 8925
Q0212,무거운 물건을 자주 드시나요?,생활습관,occupation,8,6726 7857 6288 24028 11301 8889 11513 7833 12255 11467 3261 8925
Q0213,운전을 오래 하시나요?,생활습관,occupation,8,6726 7857 6288 24028 11301 8889 12255 11467 3261 8925
Q0214,반복적으로 손이나 팔을 많이 쓰시나요?,생활습관,occupation,8,6726 7857 6288 24028 11301 8889 11467 12255 3261 8925
Q0215,운동은 어떤 종류를 하시나요?,생활습관,occupation,8,6726 7857 6288 24028 11301 8889 8925 7224 23975 8993 12255 11467 3261
Q0216,흡연량은 하루에 어느 정도인가요?,생활습관,lifestyle,10,6749 7224 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0217,음주 횟수와 양은 어느 정도인가요?,생활습관,lifestyle,10,6749 7224 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0218,통증 부위와 관련해 수술이나 시술을 받은 적이 있나요?,수술 및 입원 이력,surgery_history,10,9846 944 6556 7364 7223 8963 9525 12442 5621
Q0219,수술이나 시술은 언제 받으셨나요?,수술 및 입원 이력,surgery_time,6,6556 9525 8602 7558 9846
Q0220,최근 검사 결과지를 가지고 오셨나요?,수술 및 입원 이력,exam_history,8,9098 2711 3261 12468 6873 8993 6773 3573 10789 2470 9846
Q0221,MRI에서 디스크나 협착증 이야기를 들으셨나요?,수술 및 입원 이력,exam_history,8,9098 2711 7251 12468 6873 3573 10789 2470 9846
Q0222,오늘은 통증을 빨리 줄이는 치료를 원하시나요?,치료 방향 설명 및 선택 제안,treatment_choice,10,9525 11990 11052 10720 5621 6980 7703 12442 9594
Q0223,약물치료부터 시작하는 것이 좋으신가요?,치료 방향 설명 및 선택 제안,treatment_choice,10,9525 11990 11052 10720 5621 6980
Q0224,주사치료에 대한 걱정이 있으신가요?,치료 방향 설명 및 선택 제안,treatment_choice,10,9525 11990 11052 10720 5621 6980 4765
Q0225,스테로이드 사용을 피하고 싶으신가요?,치료 방향 설명 및 선택 제안,treatment_choice,10,9525 11990 11052 10720 5621 6980 12104 6832
Q0226,치료 후 일상생활에서 가장 좋아지고 싶은 부분은 무엇인가요?,치료 방향 설명 및 선택 제안,treatment_choice,10,9525 11990 11052 10720 5621 6980 9594 3468 11852 6886 7163 6856
